fid,id,COUNTRY,prec_2021-12,prec_2021-11,prec_2021-10,prec_2021-09,prec_2021-08,prec_2021-07,prec_2021-06,prec_2021-05,prec_2021-04,prec_2021-03,prec_2021-02,prec_2021-01,prec_2020-12,prec_2020-11,prec_2020-10,prec_2020-09,prec_2020-08,prec_2020-07,prec_2020-06,prec_2020-05,prec_2020-04,prec_2020-03,prec_2020-02,prec_2020-01,prec_2019-12,prec_2019-11,prec_2019-10,prec_2019-09,prec_2019-08,prec_2019-07,prec_2019-06,prec_2019-05,prec_2019-04,prec_2019-03,prec_2019-02,prec_2019-01,prec_2018-12,prec_2018-11,prec_2018-10,prec_2018-09,prec_2018-08,prec_2018-07,prec_2018-06,prec_2018-05,prec_2018-04,prec_2018-03,prec_2018-02,prec_2018-01,prec_2017-12,prec_2017-11,prec_2017-10,prec_2017-09,prec_2017-08,prec_2017-07,prec_2017-06,prec_2017-05,prec_2017-04,prec_2017-03,prec_2017-02,prec_2017-01,prec_2016-12,prec_2016-11,prec_2016-10,prec_2016-09,prec_2016-08,prec_2016-07,prec_2016-06,prec_2016-05,prec_2016-04,prec_2016-03,prec_2016-02,prec_2016-01,prec_2015-12,prec_2015-11,prec_2015-10,prec_2015-09,prec_2015-08,prec_2015-07,prec_2015-06,prec_2015-05,prec_2015-04,prec_2015-03,prec_2015-02,prec_2015-01,prec_2014-12,prec_2014-11,prec_2014-10,prec_2014-09,prec_2014-08,prec_2014-07,prec_2014-06,prec_2014-05,prec_2014-04,prec_2014-03,prec_2014-02,prec_2014-01,prec_2013-12,prec_2013-11,prec_2013-10,prec_2013-09,prec_2013-08,prec_2013-07,prec_2013-06,prec_2013-05,prec_2013-04,prec_2013-03,prec_2013-02,prec_2013-01,prec_2012-12,prec_2012-11,prec_2012-10,prec_2012-09,prec_2012-08,prec_2012-07,prec_2012-06,prec_2012-05,prec_2012-04,prec_2012-03,prec_2012-02,prec_2012-01,prec_2011-12,prec_2011-11,prec_2011-10,prec_2011-09,prec_2011-08,prec_2011-07,prec_2011-06,prec_2011-05,prec_2011-04,prec_2011-03,prec_2011-02,prec_2011-01,prec_2010-12,prec_2010-11,prec_2010-10,prec_2010-09,prec_2010-08,prec_2010-07,prec_2010-06,prec_2010-05,prec_2010-04,prec_2010-03,prec_2010-02,prec_2010-01,prec_2009-12,prec_2009-11,prec_2009-10,prec_2009-09,prec_2009-08,prec_2009-07,prec_2009-06,prec_2009-05,prec_2009-04,prec_2009-03,prec_2009-02,prec_2009-01,prec_2008-12,prec_2008-11,prec_2008-10,prec_2008-09,prec_2008-08,prec_2008-07,prec_2008-06,prec_2008-05,prec_2008-04,prec_2008-03,prec_2008-02,prec_2008-01,prec_2007-12,prec_2007-11,prec_2007-10,prec_2007-09,prec_2007-08,prec_2007-07,prec_2007-06,prec_2007-05,prec_2007-04,prec_2007-03,prec_2007-02,prec_2007-01,prec_2006-12,prec_2006-11,prec_2006-10,prec_2006-09,prec_2006-08,prec_2006-07,prec_2006-06,prec_2006-05,prec_2006-04,prec_2006-03,prec_2006-02,prec_2006-01,prec_2005-12,prec_2005-11,prec_2005-10,prec_2005-09,prec_2005-08,prec_2005-07,prec_2005-06,prec_2005-05,prec_2005-04,prec_2005-03,prec_2005-02,prec_2005-01,prec_2004-12,prec_2004-11,prec_2004-10,prec_2004-09,prec_2004-08,prec_2004-07,prec_2004-06,prec_2004-05,prec_2004-04,prec_2004-03,prec_2004-02,prec_2004-01,prec_2003-12,prec_2003-11,prec_2003-10,prec_2003-09,prec_2003-08,prec_2003-07,prec_2003-06,prec_2003-05,prec_2003-04,prec_2003-03,prec_2003-02,prec_2003-01,prec_2002-12,prec_2002-11,prec_2002-10,prec_2002-09,prec_2002-08,prec_2002-07,prec_2002-06,prec_2002-05,prec_2002-04,prec_2002-03,prec_2002-02,prec_2002-01,prec_2001-12,prec_2001-11,prec_2001-10,prec_2001-09,prec_2001-08,prec_2001-07,prec_2001-06,prec_2001-05,prec_2001-04,prec_2001-03,prec_2001-02,prec_2001-01,prec_2000-12,prec_2000-11,prec_2000-10,prec_2000-09,prec_2000-08,prec_2000-07,prec_2000-06,prec_2000-05,prec_2000-04,prec_2000-03,prec_2000-02,prec_2000-01
1,1,Brazil,113.7,168.5,114.1,73.3,115.2,302.29999,200.5,259.20001,301,377.39999,270.29999,223,160.10001,220.8,15.7,46.3,157.89999,107.8,227.7,281.79999,260.29999,230.5,236.89999,230.39999,273.10001,62.3,30.2,33.9,129.5,202.7,300.5,367.10001,363.60001,234,288.5,289.10001,360.70001,89.3,17.1,61,83.3,177.60001,197.10001,348.20001,419,198.7,262.10001,229,187,8.3,17,65.1,92.5,216.5,245.8,233.7,191.2,281.39999,268.5,300,278.5,19.9,22.9,53.2,76.2,201.3,196.5,307.89999,371.29999,370.5,303.89999,108.9,51.1,8.5,15.3,9.3,82.3,170.7,236.39999,318.70001,395.79999,352,187,196.5,34.3,20.9,36.8,85.4,171.2,168.10001,351.89999,269.79999,382,297.60001,330.20001,183.7,112.8,37.2,65.8,59.7,206.39999,261.70001,217.89999,390.5,379.5,301.20001,304.60001,241.8,146.10001,18.8,31.7,39.4,103.9,240.60001,146.89999,260.70001,321.29999,365.20001,365.70001,202.89999,34.4,65.5,61.1,18.4,106.7,292.70001,254.3,373.20001,283.79999,320,311.89999,324.29999,201,80.3,88.6,49.2,152.60001,130.10001,241,337.89999,391.89999,184.89999,208.10001,271.89999,185.10001,8.9,51.3,26.3,67.4,160.3,338,348.39999,265.10001,410.60001,427.60001,274.29999,313.29999,37.8,112.1,56.3,73.2,152.8,269.89999,312.70001,326.79999,314.29999,238.60001,232,301.89999,18.3,94.8,24,142,210.3,228,274,368.20001,439.29999,227.7,86.6,149.3,187.3,33.9,61.9,96,224.3,309.79999,304.89999,268.89999,327.10001,285.39999,389.20001,384.70001,40.9,48.5,38.4,112.6,181.3,208.10001,328.60001,387.20001,341,342.60001,180.89999,113.2,12.6,21.2,80.6,140.60001,234.39999,217,275.5,286.39999,365.5,512.90002,189,108.8,47.6,44.2,75,96.9,207,274.39999,217.10001,284.29999,279.79999,307.70001,92.1,150.7,36.7,19.4,11.4,79.7,119.8,294.79999,399.70001,382,334.70001,328,226.7,80.4,21,51.7,38.5,42.8,156.3,383.70001,269.70001,273.70001,177.39999,281.60001,331.60001,62.5,59.5,60.7,99.9,104.1,306.5,293.29999,394.70001,369.89999,336,251.3,349
2,2,Brazil,356.89999,289,196,145.89999,60,31.5,39,113.5,264.39999,456.5,439.60001,347,315.5,140.89999,208.60001,96.1,19.3,15.5,32.5,222.7,339.5,452.39999,406.70001,412.29999,264.10001,223.60001,192.5,70.4,35,25.9,48.2,208.2,267.5,352.10001,372.29999,372.89999,386.5,202.89999,163.39999,92,26.7,28.7,32.6,231.8,351.20001,400.29999,435.89999,305.29999,371.5,153.2,188.89999,69.8,41.8,11,41.8,132.10001,400.89999,442.60001,424.5,424.60001,467.10001,177,216.39999,118.6,28,18.2,54,151.60001,257.60001,576.79999,310.70001,227.8,207.60001,146.8,128.89999,50.2,23.5,17.9,39.6,95.5,222.10001,392.89999,310.79999,310.10001,359.20001,189.89999,257.60001,65.3,37.5,18.8,31.4,187.2,232.10001,360.39999,484.70001,379.10001,260.39999,275.5,154.5,125.8,34.1,21.9,48.9,165.89999,266.10001,420.60001,385.89999,341.10001,254.3,239.2,249.3,93.3,39.3,20.7,37.9,165.39999,244.2,398.5,376.5,433.20001,287.29999,209.3,234.89999,101,33,17.7,32.4,222.89999,353.39999,354.29999,447.10001,508.60001,343.60001,191.8,272.60001,82.2,15.9,25.4,39.6,129.3,421.10001,294.89999,393.10001,276.89999,294.39999,102.4,137.39999,75.7,17.2,23.6,56.2,198.8,345.39999,382,370.60001,295.60001,296,334,127.5,109.7,39.6,23.2,50.9,156.7,252.10001,500.70001,320,384.10001,358.70001,218.7,141.3,153.10001,22.5,18.5,22.1,162.7,324.39999,486.70001,406.60001,317.5,201.2,186.39999,112,69.2,22.5,18.9,32.9,183.10001,321.20001,404.70001,382.5,317.5,478.89999,176.89999,161.39999,97.7,24.2,19.6,36.9,178,216.39999,419.39999,339.29999,242.5,197.89999,129.2,213.3,118.7,35.4,10.3,37.9,127.9,189.10001,502.89999,499.39999,376.10001,275.5,207.5,167.89999,118.7,57.9,18.1,38.2,126.5,303.89999,443.39999,345.20001,215.10001,289.39999,157.5,163.3,77.6,30.9,13,39.9,131.60001,307.5,367.70001,268.79999,296.5,193.2,158.60001,185.39999,98.5,20.1,22.2,44.7,95,256.60001,321.5,352.79999,502.60001,180.89999,150.8,251.2,161.60001,45.6,32.6,45.7,171.5,277.10001,442.5,430.60001,361
3,3,Brazil,80.7,88.8,104.5,111.8,208.89999,339.79999,384.89999,353.10001,425.39999,259.70001,69.6,79.5,94.9,190.10001,92,112.2,197.2,315.70001,382.10001,391.20001,197.39999,61,26.8,29.8,80,237.7,76.3,130.2,269,324.10001,421.20001,426.29999,122.7,73.7,26.5,54.9,47.5,100.3,53.1,237.5,154.10001,395.70001,358.39999,376.29999,249.39999,99.3,19.1,69.7,28,43.1,29.5,99.6,121.6,255.2,255.39999,352.89999,170,210.10001,34.6,47.3,108.7,69.7,75.1,126.4,139.2,259.89999,282.70001,314.79999,164.39999,43.9,69,18.9,29.5,49,53.8,50.2,264.5,305.10001,271.89999,356.5,158.3,64.3,23.1,43.3,50.7,146.8,130.39999,53.4,197.5,183.3,285.39999,138.2,131,95.5,71.2,40.2,80.2,246.8,69.7,102,301.79999,293.5,297.29999,367.29999,196.3,82.3,178.7,26,77.9,65.8,65.1,99.4,256.89999,344.79999,265.70001,359.60001,281.79999,130.5,80.6,86.2,54.7,123.5,90.2,101.7,222.3,331.60001,363.89999,582.09998,100.3,263.5,141,64.9,132,162,73.8,126.4,214.2,281.79999,267.70001,400,297.70001,117.1,141.8,48.5,81.1,68.4,64.6,55.4,171.39999,318.89999,460,143.8,186.39999,140.2,90.5,162.2,101.7,171.8,111.3,167.7,130,391.79999,291.20001,432.5,106.9,157.7,83.6,93.4,130,66.8,117.4,111.4,278.39999,305,399.70001,440.89999,180.7,201.2,26.8,30.6,37.8,89,49.3,101,152.89999,339.70001,535,564.79999,234.7,73.3,51.7,81.8,95.2,82.5,88.6,125.6,277.10001,310.29999,412.5,389.29999,371.70001,99,144.3,96.5,29.3,45.5,103.6,171.89999,218.10001,345.70001,312.60001,508.20001,301.70001,132.60001,54.5,38.9,41,74.1,77.3,167.2,270.89999,373.20001,361.60001,396.60001,195.5,69.7,36.9,24,60.6,72.9,47.6,93.8,188.8,257.20001,487.39999,398.29999,249.89999,120.8,28.4,31.2,97.3,72.5,71.9,141.8,261.20001,221.89999,313.39999,299.10001,140.5,288.79999,26.1,34.7,62.5,129.5,91.6,113.3,178.7,303.39999,315.39999,440,309.79999,157.2,150.7,101.4
4,4,Brazil,289.79999,237.39999,196,131,65.6,44.1,76.9,184,265.79999,505.10001,432.20001,329.89999,305.5,252.5,191.2,144.10001,26.4,40.3,75.9,189,277.39999,345.5,414.20001,355.5,290.20001,224.7,205.5,151.5,54.8,42.4,69.9,190.5,275.20001,504.89999,351,342.60001,305,224.60001,183.60001,139.3,166.8,40.5,75.9,183.8,273.5,279.89999,427.20001,335.89999,317.5,228.5,193.2,148.5,43,41.4,73.2,181.60001,277.29999,233.60001,353.89999,351.79999,314.89999,226.7,195.5,141.60001,50.5,41.8,71.7,181.60001,274.10001,406.20001,239.60001,324,282.5,218.89999,178.10001,126,6.7,38.9,72.4,189.60001,275.60001,336.29999,399.60001,337,283.10001,236,195.10001,129.8,71.9,43.3,74.6,193.10001,273.5,394.79999,348.39999,337.60001,277.5,239.8,199.60001,146.89999,43.1,42.8,72.1,190.3,288.20001,378,329.10001,338.29999,296.39999,233.10001,192.60001,133.8,14.5,41.6,68,180.7,269.70001,382.10001,366.79999,352.10001,281.70001,235.5,192.7,136.7,62.8,38.5,71,182.3,287,190.10001,363.20001,343.20001,302.60001,220.10001,184.10001,132.60001,21,41.7,73.9,185.60001,286.29999,331,366.5,343.70001,298,221.89999,189.10001,129.39999,97.8,41.1,79.2,181.89999,278.70001,443,392.89999,362.10001,313.39999,226.10001,188.89999,137.5,45,39.7,75.4,186.3,284.29999,351,433,353.79999,300.79999,234.5,185.39999,134.60001,107.5,42,70.5,184,282.60001,371,161.60001,357,294.5,250.10001,184.39999,134.8,70.2,41.8,71.4,193,280.89999,449.5,296.29999,338.60001,301.20001,226.3,186.60001,135.89999,28.5,39.9,69.2,193.39999,278.20001,344.39999,228.2,330.10001,283.89999,227.10001,187.5,139.5,94.4,41.2,72.2,193.8,269.39999,312.60001,196.5,333.29999,276.70001,219.89999,190.10001,138,71.7,40,78.1,200,273.70001,448.29999,289.60001,324.60001,305.70001,221.8,200.39999,137.2,46.5,40.6,76.1,192.60001,287.20001,388.39999,460.79999,345,301.89999,232.3,186.60001,144.3,18,43.1,77.9,186.7,264.29999,262.5,339.39999,353.39999,292.5,237.60001,181.7,150.7,92.1,44,70.9,190.3,285.70001,410.79999,254.10001,356.10001
5,5,Brazil,331,223,111.5,20.7,18,2.9,21.6,80.8,155.5,296.5,316.39999,243.60001,231.3,88.7,102.2,35.1,18.4,72.5,13.5,24.8,214.10001,118.4,229,296.10001,253.8,251.3,105.2,13.2,28,53.2,4,90.1,200.60001,201.39999,246.5,427.5,195.2,192.5,136.7,91,100.4,32.2,39.1,80.7,147.39999,200.8,274.79999,278.70001,276.20001,162.89999,117.4,35.3,60.5,12.9,8,67.8,212.7,279.20001,273.20001,221.3,202.7,156.2,136.7,96.8,46,40.9,12.7,64.3,100.2,182.5,341.39999,295.29999,125.1,116.7,66.5,88.4,35.6,33.2,62.6,203.89999,213.3,231.5,260.39999,352.20001,231.3,197.2,102.1,88.4,46.1,42.6,46.8,126.9,150.5,345.10001,317.39999,335.89999,121.5,163.8,137.89999,54.5,50.7,31,150.39999,96.7,70.4,237.89999,245.10001,202.60001,195.60001,235.89999,130.8,116.3,19,23.9,49,103.2,189.39999,173.10001,254.60001,267.20001,217.5,113.1,79.1,72.8,11.6,2.9,12.7,120.4,214.60001,381.60001,233.89999,227.3,192.7,203.89999,143.5,56.3,31.1,24.9,11.1,121.9,204.3,335.70001,475.60001,585.20001,240.3,308.10001,127.8,92.5,51.5,58.6,85.6,104.7,420.5,220.8,361.5,154.2,311.89999,197.10001,136.7,80.8,60.1,26.9,8.5,45.4,176.5,185.2,312.5,295.89999,227.7,197.10001,172.3,73.7,6.3,20,8.2,131.5,194.7,238.2,282.60001,185.5,225.2,165.7,107.7,48.1,51.2,43.9,79.1,168.39999,183.8,142.8,416.39999,257.89999,151.39999,26.7,133.2,69.4,19.3,33.2,3.8,95.5,137.8,231.5,235.60001,257.89999,231.2,197.2,136.8,47.2,46.1,33.2,46.9,95.6,213.3,189.10001,337.79999,282.39999,163.39999,157.89999,153.8,98.2,54.9,4,15.3,116.4,346.60001,395,487.5,365.20001,438.89999,214.5,233.7,27.1,24.6,28.9,13.2,106.9,287.39999,548.40002,311.60001,461,491.79999,356.29999,228.60001,18.8,15.5,10.2,59.2,121.9,395.10001,434.29999,361.20001,289.39999,363.20001,468.5,246.3,71.7,33,59.4,38.8,59.4,90,286,605.29999,381.20001
6,6,Brazil,185.3,279.39999,94.7,53.4,11,6.9,8.5,35.2,102,276.39999,199.89999,199.39999,233.2,137.7,134.8,82.6,8.8,6.8,10.4,33,112.9,199.60001,298.5,198,275.20001,149.39999,155.8,51.9,18.4,1.2,4.9,45.1,194,222.89999,276.10001,312.89999,305.39999,246.2,190,100.1,30.4,7,9.6,48,124.1,143.2,329.10001,269.89999,271.89999,194.8,74.6,45.9,13.9,6.9,7.2,55,136,199.10001,212,210.3,95.1,104.9,164.3,40.4,39.9,2.1,5.2,101.5,97.1,206.39999,176.2,186,109.8,241.2,181.39999,97.9,26,7.5,22.1,114.5,197.3,331.89999,317.5,298,298.5,244.3,186.3,97.6,27,8.5,22.1,125.2,202.5,350,320.60001,299,307.39999,250.3,204.8,95.8,25.9,7,24.4,106.1,184.89999,341.20001,333,299.20001,301.79999,264.10001,180.39999,95.7,25.9,7,21.8,113.6,196.89999,319.39999,319.10001,306.89999,305.70001,240.8,181.60001,98.8,26.3,6.9,22.1,107.7,196.8,341.89999,331.10001,292.10001,293.39999,246.3,194.60001,97.6,25,7.1,21.5,120.4,183.5,338.5,335.29999,310.29999,306.89999,242.39999,191.10001,101.5,25.5,7.7,21.3,113.9,207,332.89999,323.5,292.20001,313.10001,244.3,189.10001,97,25.6,7.2,20.5,117,194.10001,337.70001,321.5,436.29999,301.79999,285.79999,210.5,39.4,4.8,5.7,6.2,122.4,188.89999,275.89999,302.5,406.5,356.60001,242.39999,191.60001,44.7,11.4,6.2,3.8,105.8,304.60001,359.60001,388.39999,417.89999,297.60001,97.1,225.89999,42.4,34.8,1.4,8.1,94.3,87.1,397.70001,350.60001,313.89999,221.3,435.89999,182.3,62.9,23.8,11,6.4,57.5,97.8,368.79999,271.79999,280.60001,269.89999,210.5,114.8,146.3,53.5,1.2,57.9,197.7,112.2,325.20001,292.20001,263,529.59998,216.7,182.39999,27.3,32.6,6.1,16.1,121,233.7,236.3,379.79999,224.39999,331.79999,176.8,171.39999,148.89999,27.8,22.1,57.2,103.5,168.3,404.10001,409,262.10001,415,288.60001,175.7,40.8,34.7,17.9,8,72.8,185.5,305.70001,344.10001,442
7,7,Brazil,311.70001,238.2,177,77.9,14.9,1.8,7.7,46,171.10001,307.60001,324.39999,328.70001,317.39999,213.10001,165,73.8,14.7,1.7,7.7,51.3,153.5,272.20001,310.89999,325.10001,309.5,225.7,174.3,77.9,14.8,1.8,7.7,43.6,176.7,317.29999,318.20001,321.89999,311.5,237.39999,175.39999,82.3,18.6,1.7,7.9,46.2,181.8,312.29999,323.29999,333.29999,323.29999,219.39999,160.60001,79.5,15.9,1.7,7.7,54.8,173.3,304.10001,345.39999,340.29999,325.20001,221.8,171.60001,80.2,22.2,1.7,8.8,44.2,170.60001,306.60001,301.39999,329.79999,310.79999,235.8,170.5,74.9,16.6,1.8,9.3,52.2,182.60001,292.20001,301.39999,308.20001,309.79999,222,168.89999,85,15.2,2.7,9.8,46,180.39999,304.79999,337.39999,325.29999,327.20001,223.39999,178.39999,76.3,14.6,1.8,13.2,43.1,155.2,288.10001,310.29999,331.89999,311.89999,217.89999,157.3,81.9,14.6,1.9,10.1,58.6,169.3,281.10001,327.60001,333.39999,329.39999,220.2,169.39999,82.3,18.4,1.7,12.7,43.8,170.2,302.5,320.89999,344.70001,324.70001,229.5,185.5,74.3,14.6,1.9,10.4,46.6,153.5,293.79999,323.89999,369.29999,325.70001,203.3,170.2,87.9,21.2,2,10.4,48.8,174.2,321.89999,337.29999,307,313,224.2,176.39999,82.1,14.9,1.7,7.7,45.1,187.60001,302.60001,306.70001,370,311,248.39999,189.8,75.2,14.6,2.6,8,45.4,163.39999,279.70001,346.89999,328.60001,327.39999,216.7,184.5,82,15.6,1.9,9.7,47.2,174.10001,293.39999,348.10001,334,344.39999,226.7,177.2,89.2,15.9,1.7,9.4,47.5,161.10001,299.5,294.70001,351.5,327,232.2,176.89999,80.6,15.4,2.8,8.2,46.4,171,283.29999,354.60001,371,311.39999,221.10001,180.39999,94,14.9,1.8,8.7,48.8,170.89999,295.29999,348.10001,354.60001,317.5,211.10001,163.10001,87.5,15.7,2.1,7.7,51.9,182.60001,299.89999,325.39999,348.20001,348.5,233.3,174.2,101.7,18.8,1.8,8.6,48.2,171.7,299.60001,307.20001,332.29999,333,230.39999,170.10001,85.2,16.5,1.8,7.7,44.9,165.60001,300.39999,326.60001,327.5
8,8,Guyana,68.7,32,77.2,51.7,189.39999,333.79999,297.79999,288.89999,392,183.2,51.1,40.9,45,178.89999,61.8,37.3,209.89999,334.60001,356.5,289.10001,135.89999,4.5,7.5,9.2,39.9,215.10001,45.9,94.4,327.60001,368,443.39999,400.79999,8.3,7.3,1.9,15.3,8,45,28.3,203.39999,104.4,386.5,381.5,330.70001,142.60001,45.8,1.5,40.9,14.2,16.7,6.3,71.2,68,305,292.79999,323.29999,112.3,165.3,3.5,32.2,96.4,49.9,61.1,95.7,154,301.39999,316.29999,337.29999,153.89999,1.7,41.6,2.5,13.7,21.7,30,37,202,279.10001,279.70001,271,75.6,20,3.5,10.7,32.3,134.7,79.3,29,161,174.2,329.79999,93.6,50.1,22.9,39.7,8.3,61.3,172.39999,40,58.8,223.8,257.39999,238.7,266.39999,132.60001,50.3,119,4.4,48.7,35.8,24.9,35.3,221.89999,242.5,167.89999,240.7,183.10001,49.2,66.3,68.7,24.3,118.9,59.7,51,192.3,255.60001,248.89999,488.70001,23.6,166,119.6,39.9,97.6,116.4,54.1,83.1,209.39999,377.70001,255.39999,413.70001,211,59.8,91.4,21.2,51.4,21,44.1,19.3,82.9,303.89999,382.20001,14.3,100.3,60.9,41.7,134.3,120.9,146.10001,65.3,74.9,169.39999,368.29999,300.5,349.60001,31.1,70.1,82.8,54.4,96.3,18.2,83,86.7,358.10001,326.29999,502.70001,400.89999,163.3,110.9,5,5.8,19.2,60.8,19.2,51.9,189.7,355.70001,648.70001,533.40002,207.7,13,44,85.7,71.6,48.5,49.7,48.7,299.60001,394.70001,317.70001,282,269.39999,28.3,99.6,73.6,18.7,26.9,80.9,115.4,144.89999,284.10001,249,541.09998,226.3,83.8,35.9,15.4,25,32.1,48.8,142.10001,201.8,425.60001,417.10001,316.60001,93.2,27.1,10,2.8,33.6,49.1,9.3,41,195.5,210.7,472.39999,283.10001,197.8,46.3,8,18.5,60.6,40.4,51.4,73.6,242.3,218.39999,295,215.7,39.3,131.5,2.9,5.1,49.2,105.3,63.7,79.9,166.10001,249.2,371.79999,384.29999,198,97.2,115.6,82.3
9,9,Venezuela,193.2,332.20001,189.7,287.89999,346.60001,278.29999,310,250.89999,331.10001,194.7,169.60001,214,166.3,322,145.8,164.8,164.60001,336.89999,476,294,245.5,233.10001,85.5,117.4,130.3,242.7,255.8,243.3,275.39999,283.5,325.70001,591.09998,235.5,111.3,137.89999,167.39999,221.7,316.79999,170.60001,220.8,254.8,419.60001,265.10001,374.89999,334.79999,187.7,156.39999,136.3,151.2,239.10001,195.7,214.7,236.7,340.10001,273.39999,227.10001,369.79999,248.8,285.5,153.39999,243.10001,203.3,323.79999,244.7,190.39999,370.5,365,490.79999,314.89999,267,127.2,99.8,176.7,165.8,161.5,111.8,225.89999,301.5,412.29999,404.10001,355.60001,350,158,165.60001,238.2,204.10001,249.60001,206.5,291.79999,274.79999,168,465.5,321.79999,226.89999,197.2,185.3,150.2,309.10001,173.60001,316.20001,332,269,329.5,456.60001,318.29999,332.5,296.29999,107.3,149.2,166,146.5,277.29999,223.10001,358.89999,264.60001,411.5,266,391.29999,285.89999,183.8,221.89999,155,240.7,253.10001,182.2,193.10001,285,458.10001,297.89999,233.60001,187.10001,204.39999,167.3,271.29999,227.8,222.10001,183.8,242.5,340.79999,393.79999,302.89999,220.10001,168.39999,138.10001,91.2,152.2,291.5,204.7,292,236.7,444.20001,365.5,245.10001,248.10001,193.7,195.10001,239.89999,257.5,248,278.39999,220.89999,370.29999,320.5,398.5,185.2,219.7,186.5,192.10001,224.60001,204.8,264.79999,181.39999,276.5,338.29999,331.70001,419.70001,348.60001,195.3,67.2,160.39999,124.7,182.89999,360.70001,189.3,197.39999,420.79999,269.60001,489.89999,282.89999,250,161.5,213.5,259.29999,246.89999,234.89999,305.5,312.89999,219.60001,294.79999,380.20001,318.39999,265.10001,183.7,122,123.6,123.1,254.3,221,306.39999,338.70001,239.5,368,207.2,281.10001,236,134,70.9,229.2,240.8,298.60001,198.8,354.89999,407.10001,444.39999,274.60001,162.3,230.39999,117.9,230.60001,259,323.79999,230.39999,397.39999,374.60001,433.89999,455.89999,391,231.5,161.39999,133.2,214.7,121,143.3,318.89999,260.39999,302.89999,329.5,375.5,287.39999,205.3,144.39999,135.8,208,155.39999,173.5,235.8,246,292.79999,497.79999,536.70001,259.89999,311.60001,207.3,143.8
10,10,Colombia,183,220,213.8,248.60001,260.20001,272.79999,267.10001,320.10001,320.5,251.3,169.89999,166.10001,182.8,217.60001,214.39999,247.3,258.89999,277.20001,267.29999,320,320.60001,251.2,170,166,182.89999,217.7,214.39999,247.2,258.89999,197.2,235.89999,266.20001,283.10001,205.10001,142,180.10001,179.8,195.89999,214.5,247.3,259.10001,247.10001,267.10001,320,247.8,232.39999,116.6,166.10001,141.39999,168.89999,193.39999,247.3,259.10001,249.7,234.3,319.79999,320.5,251.3,169.89999,166.10001,182.8,213,214.39999,247.10001,258.89999,284.5,261.70001,298.29999,293.70001,252.8,178.2,109.3,197.8,214.10001,150.7,244.3,220.10001,236.10001,261.10001,304,290.39999,248.7,191.60001,173.60001,205.89999,200,200.39999,240.3,221.8,275.20001,299.79999,343.60001,350.70001,233.10001,190,163.89999,191.5,248.3,195.3,296.29999,260.70001,268,221.8,303.79999,360.39999,245.3,265.89999,152.8,170.5,230.7,172.10001,201.89999,252.7,227.7,270,359,315,329.89999,271.70001,165.10001,261.70001,163.3,184.10001,230.7,206.5,238.10001,274.39999,333.5,295.79999,242.39999,165,142.2,192.7,189.60001,209.8,206.10001,236,253.60001,246,269.5,256.79999,273.10001,160.10001,148.3,185.89999,217.39999,194.89999,187.8,249.5,260,289.89999,289.29999,280.20001,267.70001,155.3,176.8,177.5,215.10001,233.3,228.7,200.7,298.60001,267,322.5,324.70001,231.39999,193.8,151.2,223.7,261,222.39999,264.10001,248.89999,320.89999,276.20001,313.20001,307.5,299.60001,141.8,182.89999,183,190.2,214.3,213.10001,250.10001,263.29999,278.29999,321.60001,308.60001,273.5,146.7,213,199.10001,210,232.2,211.39999,286,245.2,235.8,328.29999,355.39999,327.89999,222.2,138.2,157.5,213.10001,235.39999,237.3,277.79999,254.10001,254.10001,358.10001,283.89999,258.79999,157.60001,164.7,188.39999,210.60001,247.5,259.10001,212.60001,282.70001,292.70001,417.70001,333.10001,233.10001,229.2,149.8,241,252.39999,256.29999,223.3,293.29999,307.29999,315.20001,339.60001,434.89999,263,176.7,150.89999,183.3,213.10001,192.3,202.3,251.7,289,305.89999,331.20001,286.20001,240.89999,167.39999,170.39999,230.7,199.2,224.2,215.10001,285.29999,266.89999,266.5,364.29999,365.10001,296.5,215.8,131.5
